[19:02:52] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:02:53] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:02:53] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:02:53] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:02:53] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:02:53] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:02:53] [main/INFO]: Reloading ResourceManager: Default
[19:02:55] [Worker-Main-2/INFO]: Loaded 7 recipes
[19:02:56] [Worker-Main-2/INFO]: Loaded 927 advancements
[19:02:58] [Server thread/INFO]: Starting minecraft server version 1.16.5
[19:02:58] [Server thread/INFO]: Loading properties
[19:02:58] [Server thread/INFO]: Default game type: SURVIVAL
[19:02:58] [Server thread/INFO]: Generating keypair
[19:02:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:02:59] [Server thread/INFO]: Using epoll channel type
[19:02:59] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:02:59] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:02:59] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:02:59] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:02:59] [Server thread/INFO]: Preparing level "world"
[19:03:07] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:03:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:03:10] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:03:11] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:03:11] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:03:12] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[19:03:12] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[19:03:13] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:03:13] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:03:14] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[19:03:14] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[19:03:15] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[19:03:15] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[19:03:16] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[19:03:16] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[19:03:17] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:03:17] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:03:18] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[19:03:18] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[19:03:19] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[19:03:19] [Worker-Main-2/INFO]: Preparing spawn area: 16%
